"trainer/global_step","SPT-64 - _step","SPT-64 - _step__MIN","SPT-64 - _step__MAX","SPT-64 - train/loss","SPT-64 - train/loss__MIN","SPT-64 - train/loss__MAX"
"1449","608","608","608","2.482304334640503","2.482304334640503","2.482304334640503"
"1454","610","610","610","2.4964473247528076","2.4964473247528076","2.4964473247528076"
"1459","612","612","612","2.2981348037719727","2.2981348037719727","2.2981348037719727"
"1464","614","614","614","2.691741466522217","2.691741466522217","2.691741466522217"
"1469","616","616","616","2.5918846130371094","2.5918846130371094","2.5918846130371094"
"1474","618","618","618","2.7802653312683105","2.7802653312683105","2.7802653312683105"
"1479","620","620","620","2.4942822456359863","2.4942822456359863","2.4942822456359863"
"1484","622","622","622","2.6455461978912354","2.6455461978912354","2.6455461978912354"
"1489","624","624","624","2.4734489917755127","2.4734489917755127","2.4734489917755127"
"1494","626","626","626","2.5768909454345703","2.5768909454345703","2.5768909454345703"
"1499","629","629","629","2.689791202545166","2.689791202545166","2.689791202545166"
"1504","631","631","631","2.5960171222686768","2.5960171222686768","2.5960171222686768"
"1509","633","633","633","2.370063066482544","2.370063066482544","2.370063066482544"
"1514","635","635","635","2.550036668777466","2.550036668777466","2.550036668777466"
"1519","637","637","637","2.5737709999084473","2.5737709999084473","2.5737709999084473"
"1524","639","639","639","2.3250386714935303","2.3250386714935303","2.3250386714935303"
"1529","641","641","641","3.1300151348114014","3.1300151348114014","3.1300151348114014"
"1534","643","643","643","2.757965087890625","2.757965087890625","2.757965087890625"
"1539","645","645","645","2.837672710418701","2.837672710418701","2.837672710418701"
"1544","647","647","647","2.7051308155059814","2.7051308155059814","2.7051308155059814"
"1549","650","650","650","2.6943438053131104","2.6943438053131104","2.6943438053131104"
"1554","652","652","652","2.5771279335021973","2.5771279335021973","2.5771279335021973"
"1559","654","654","654","2.69500994682312","2.69500994682312","2.69500994682312"
"1564","656","656","656","2.453835964202881","2.453835964202881","2.453835964202881"
"1569","658","658","658","2.4317586421966553","2.4317586421966553","2.4317586421966553"
"1574","660","660","660","2.1177802085876465","2.1177802085876465","2.1177802085876465"
"1579","662","662","662","2.588466167449951","2.588466167449951","2.588466167449951"
"1584","664","664","664","2.8358261585235596","2.8358261585235596","2.8358261585235596"
"1589","666","666","666","2.5680174827575684","2.5680174827575684","2.5680174827575684"
"1594","668","668","668","2.8289637565612793","2.8289637565612793","2.8289637565612793"
"1599","671","671","671","2.6569950580596924","2.6569950580596924","2.6569950580596924"
"1604","673","673","673","2.38311767578125","2.38311767578125","2.38311767578125"
"1609","675","675","675","2.520953416824341","2.520953416824341","2.520953416824341"
"1614","677","677","677","2.4748096466064453","2.4748096466064453","2.4748096466064453"
"1619","679","679","679","2.786067247390747","2.786067247390747","2.786067247390747"
"1624","681","681","681","2.39440655708313","2.39440655708313","2.39440655708313"
"1629","683","683","683","2.293617010116577","2.293617010116577","2.293617010116577"
"1634","685","685","685","2.4151771068573","2.4151771068573","2.4151771068573"
"1639","687","687","687","2.3040127754211426","2.3040127754211426","2.3040127754211426"
"1644","689","689","689","2.257282018661499","2.257282018661499","2.257282018661499"
"1649","692","692","692","2.24491024017334","2.24491024017334","2.24491024017334"
"1654","694","694","694","2.087796449661255","2.087796449661255","2.087796449661255"
"1659","696","696","696","2.6089024543762207","2.6089024543762207","2.6089024543762207"
"1664","698","698","698","2.098815441131592","2.098815441131592","2.098815441131592"
"1669","700","700","700","2.1043472290039062","2.1043472290039062","2.1043472290039062"
"1674","702","702","702","2.443904399871826","2.443904399871826","2.443904399871826"
"1679","704","704","704","2.2005372047424316","2.2005372047424316","2.2005372047424316"
"1684","706","706","706","2.511293649673462","2.511293649673462","2.511293649673462"
"1689","708","708","708","2.3293509483337402","2.3293509483337402","2.3293509483337402"
