"Iter","s3dis/semseg-pt-v1-0-base - _step","s3dis/semseg-pt-v1-0-base - _step__MIN","s3dis/semseg-pt-v1-0-base - _step__MAX","s3dis/semseg-pt-v1-0-base - train_batch/loss","s3dis/semseg-pt-v1-0-base - train_batch/loss__MIN","s3dis/semseg-pt-v1-0-base - train_batch/loss__MAX"
"225","225","225","225","0.5847191214561462","0.5847191214561462","0.5847191214561462"
"226","226","226","226","0.698878288269043","0.698878288269043","0.698878288269043"
"227","227","227","227","0.927723228931427","0.927723228931427","0.927723228931427"
"228","228","228","228","0.7001804709434509","0.7001804709434509","0.7001804709434509"
"229","229","229","229","0.609054446220398","0.609054446220398","0.609054446220398"
"230","230","230","230","0.8723551034927368","0.8723551034927368","0.8723551034927368"
"231","231","231","231","0.6244012117385864","0.6244012117385864","0.6244012117385864"
"232","232","232","232","0.7892126441001892","0.7892126441001892","0.7892126441001892"
"233","233","233","233","0.8478240370750427","0.8478240370750427","0.8478240370750427"
"234","234","234","234","0.9293005466461182","0.9293005466461182","0.9293005466461182"
"235","235","235","235","0.6406465172767639","0.6406465172767639","0.6406465172767639"
"236","236","236","236","0.6656250357627869","0.6656250357627869","0.6656250357627869"
"237","237","237","237","0.62877357006073","0.62877357006073","0.62877357006073"
"238","238","238","238","0.5376983284950256","0.5376983284950256","0.5376983284950256"
"239","239","239","239","0.7168834209442139","0.7168834209442139","0.7168834209442139"
"240","240","240","240","0.8103946447372437","0.8103946447372437","0.8103946447372437"
"241","241","241","241","0.8409878015518188","0.8409878015518188","0.8409878015518188"
"242","242","242","242","1.1669580936431885","1.1669580936431885","1.1669580936431885"
"243","243","243","243","0.7084301710128784","0.7084301710128784","0.7084301710128784"
"244","244","244","244","0.8465513586997986","0.8465513586997986","0.8465513586997986"
"245","245","245","245","0.7656778693199158","0.7656778693199158","0.7656778693199158"
"246","246","246","246","0.7543548345565796","0.7543548345565796","0.7543548345565796"
"247","247","247","247","0.6582504510879517","0.6582504510879517","0.6582504510879517"
"248","248","248","248","0.6396840214729309","0.6396840214729309","0.6396840214729309"
"249","249","249","249","0.7303850650787354","0.7303850650787354","0.7303850650787354"
"250","250","250","250","0.5556908249855042","0.5556908249855042","0.5556908249855042"
"251","251","251","251","0.6070066690444946","0.6070066690444946","0.6070066690444946"
"252","252","252","252","0.646573543548584","0.646573543548584","0.646573543548584"
"253","253","253","253","0.63805091381073","0.63805091381073","0.63805091381073"
"254","254","254","254","0.6250813603401184","0.6250813603401184","0.6250813603401184"
"255","255","255","255","0.6589236259460449","0.6589236259460449","0.6589236259460449"
"256","256","256","256","0.5936979651451111","0.5936979651451111","0.5936979651451111"
"257","257","257","257","0.9089230895042419","0.9089230895042419","0.9089230895042419"
"258","258","258","258","0.6796980500221252","0.6796980500221252","0.6796980500221252"
"259","259","259","259","0.8505862355232239","0.8505862355232239","0.8505862355232239"
"260","260","260","260","1.4213616847991943","1.4213616847991943","1.4213616847991943"
"261","261","261","261","0.6037662029266357","0.6037662029266357","0.6037662029266357"
"262","262","262","262","1.0524282455444336","1.0524282455444336","1.0524282455444336"
"263","263","263","263","0.5976322293281555","0.5976322293281555","0.5976322293281555"
"264","264","264","264","0.7860880494117737","0.7860880494117737","0.7860880494117737"
"265","265","265","265","0.672211766242981","0.672211766242981","0.672211766242981"
"266","266","266","266","0.974590003490448","0.974590003490448","0.974590003490448"
"267","267","267","267","0.6273193359375","0.6273193359375","0.6273193359375"
"268","268","268","268","0.665044367313385","0.665044367313385","0.665044367313385"
"269","269","269","269","0.8257994651794434","0.8257994651794434","0.8257994651794434"
"270","270","270","270","0.8209289908409119","0.8209289908409119","0.8209289908409119"
"271","271","271","271","0.5891909003257751","0.5891909003257751","0.5891909003257751"
"272","272","272","272","0.5691453218460083","0.5691453218460083","0.5691453218460083"
"273","273","273","273","0.6354107856750488","0.6354107856750488","0.6354107856750488"
"274","274","274","274","0.5955752730369568","0.5955752730369568","0.5955752730369568"
"275","275","275","275","0.7420278191566467","0.7420278191566467","0.7420278191566467"
"276","276","276","276","0.8237230777740479","0.8237230777740479","0.8237230777740479"
"277","277","277","277","0.5768753886222839","0.5768753886222839","0.5768753886222839"
"278","278","278","278","0.7472512722015381","0.7472512722015381","0.7472512722015381"
"279","279","279","279","0.823423445224762","0.823423445224762","0.823423445224762"
"280","280","280","280","0.8108073472976685","0.8108073472976685","0.8108073472976685"
"281","281","281","281","0.5670276880264282","0.5670276880264282","0.5670276880264282"
"282","282","282","282","0.7936611175537109","0.7936611175537109","0.7936611175537109"
"283","283","283","283","0.5407976508140564","0.5407976508140564","0.5407976508140564"
"284","284","284","284","0.6538429260253906","0.6538429260253906","0.6538429260253906"
"285","285","285","285","0.6777846813201904","0.6777846813201904","0.6777846813201904"
"286","286","286","286","0.7456507086753845","0.7456507086753845","0.7456507086753845"
"287","287","287","287","0.6447902321815491","0.6447902321815491","0.6447902321815491"
"288","288","288","288","0.8076972961425781","0.8076972961425781","0.8076972961425781"
"289","289","289","289","0.5754588842391968","0.5754588842391968","0.5754588842391968"
"290","290","290","290","0.6264521479606628","0.6264521479606628","0.6264521479606628"
"291","291","291","291","0.721488893032074","0.721488893032074","0.721488893032074"
"292","292","292","292","0.7246787548065186","0.7246787548065186","0.7246787548065186"
